MRT,CE,Promenade,1.292705428,103.8608549
MRT,CE1,Bayfront,1.28211905,103.8592333
MRT,CE2,Marina Bay,1.276127541,103.8553525
MRT,DT1,Bukit Panjang,1.379243644,103.7614805
MRT,DT2,Cashew,1.369208106,103.764567
MRT,DT3,Hillview,1.362656812,103.7674285
MRT,DT4,Hume,1.354504436,103.7690869
MRT,DT5,Beauty World,1.341706572,103.7757295
MRT,DT6,King Albert Park,1.335717065,103.7836347
MRT,DT7,Sixth Avenue,1.3309407,103.7973398
MRT,DT8,Tan Kah Kee,1.326074749,103.8072925
MRT,DT9,Botanic Gardens,1.322622842,103.8165195
MRT,DT10,Stevens,1.320207545,103.8259875
MRT,DT11,Newton,1.313680738,103.838106
MRT,DT12,Little India,1.307228897,103.8484149
MRT,DT13,Rochor,1.303875944,103.8523585
MRT,DT14,Bugis,1.299201786,103.8571741
MRT,DT15,Promenade,1.292705428,103.8608549
MRT,DT16,Bayfront,1.28211905,103.8592333
MRT,DT17,Downtown,1.279418591,103.8527645
MRT,DT18,Telok Ayer,1.282464744,103.8480003
MRT,DT19,Chinatown,1.284201189,103.8451068
MRT,DT20,Fort Canning,1.292655002,103.8442242
MRT,DT21,Bencoolen,1.298890218,103.85035
MRT,DT22,Jalan Besar,1.305562225,103.8554699
MRT,DT23,Bendemeer,1.313507204,103.8627158
MRT,DT24,Geylang Bahru,1.321520324,103.8719491
MRT,DT25,Mattar,1.326817087,103.8834531
MRT,DT26,MacPherson,1.32626449,103.8894635
MRT,DT27,Ubi,1.329935134,103.8992103
MRT,DT28,Kaki Bukit,1.334993853,103.9082964
MRT,DT29,Bedok North,1.33504612,103.9176857
MRT,DT30,Bedok Reservoir,1.33675178,103.9322311
MRT,DT31,Tampines West,1.345694939,103.9384236
MRT,DT32,Tampines,1.355127507,103.9429064
MRT,DT33,Tampines East,1.356289451,103.954072
MRT,DT34,Upper Changi,1.342068884,103.9615609
MRT,DT35,Expo,1.335291304,103.9625442
MRT,TE1,Woodlands North,1.448359855,103.7853198
MRT,TE2,Woodlands,1.436261211,103.7878008
MRT,TE3,Woodlands South,1.427373573,103.7936468
MRT,TE4,Springleaf,1.398087556,103.8180183
MRT,TE5,Lentor,1.384819921,103.83657
MRT,TE6,Mayflower,1.372135869,103.8368382
MRT,TE7,Bright Hill,1.363251421,103.8328841
MRT,TE8,Upper Thomson,1.354609176,103.8328899
MRT,TE9,Caldecott,1.337417635,103.8401231
MRT,TE11,Stevens,1.319583609,103.8254352
MRT,TE12,Napier,1.306497597,103.8188325
MRT,TE13,Orchard Boulevard,1.302665049,103.8240085
MRT,TE14,Orchard,1.303031274,103.8318498
MRT,TE15,Great World,1.294379392,103.8332251
MRT,TE16,Havelock,1.28804351,103.8337055
MRT,TE17,Outram Park,1.281356231,103.8393691
MRT,TE18,Maxwell,1.280454216,103.8438604
MRT,TE19,Shenton Way,1.277779145,103.8504837
MRT,TE20,Marina Bay,1.275050282,103.8555525
MRT,TE22,Gardens by the Bay,1.278381547,103.8673726
MRT,TE23,Tanjong Rhu,1.297129659,103.8735965
MRT,TE24,Katong Park,1.2979351,103.8863154
MRT,TE25,Tanjong Katong,1.29923649,103.897539
MRT,TE26,Marine Parade,1.302872345,103.9055569
MRT,TE27,Marine Terrance,1.306741788,103.9153679
MRT,TE28,Siglap,1.309668754,103.9297699
MRT,TE29,Bayshore,1.313112063,103.9422822
